region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,total_msw_total_msw_generated_tons_year
LCN,Aruba,35563.3125,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,103187,22500.0,88132.0167
SAS,Afghanistan,2057.062256,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,34656032,20000.0,5628525.37
SSF,Angola,8036.69043,51.8,6.7,4.4,11.5,11.9,13.5,Yes,Yes,Yes,25096150,92000.0,4213643.585
ECS,Albania,13724.05859,51.4,4.5,4.8,15.21,9.9,9.6,Yes,Yes,Yes,2854191,20000.0,1087446.75
ECS,Andorra,43711.80078,31.2,8.2,2.6,11.6,35.1,11.3,Yes,Yes,Yes,82431,22500.0,43000.0
MEA,United Arab Emirates,67119.13281,39.0,4.0,3.0,10.0,25.0,19.0,Yes,Yes,Yes,9770529,134000.0,5617682.0
LCN,Argentina,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,Yes,Yes,Yes,42981516,291700.0,17910550.0
ECS,Armenia,11019.83887,57.0,3.2,3.4,17.4,6.7,11.4,No,Yes,No,2906220,14000.0,492800.0
EAS,American Samoa,11113.44238,19.7,3.4,7.9,25.6,26.4,12.8,Yes,Yes,Yes,55599,22500.0,18989.49
LCN,Antigua and Barbuda,17965.50195,46.0,7.0,7.0,12.0,15.0,13.0,Yes,Yes,No,96777,1100.0,30585.0
EAS,Australia,47784.17969,48.44,3.81,19.38,3.46,17.3,7.61,Yes,Yes,Yes,23789338,574000.0,13345000.0
ECS,Austria,56029.61328,31.4,7.0,4.4,18.5,19.7,11.1,Yes,Yes,No,8877067,166174.0,5219715.5
ECS,Azerbaijan,14853.91016,45.19,5.28,3.49,13.73,10.93,7.87,Yes,Yes,No,9649341,63000.0,2930349.0
SSF,Burundi,839.7785034,81.0,2.9,2.1,3.2,7.3,3.5,Yes,Yes,Yes,6741569,5000.0,1872016.0
ECS,Belgium,51914.91406,14.18,3.1,1.91,40.14,18.38,13.94,Yes,Yes,No,11484055,603575.0,4765883.0
SSF,Benin,2227.352295,52.1,1.6,1.6,34.3,3.1,7.3,Yes,Yes,Yes,5521763,8200.0,685936.01
SSF,Burkina Faso,1925.331177,21.0,1.0,1.0,61.0,7.0,9.0,No,Yes,Yes,18110624,11000.0,2575251.11
SAS,Bangladesh,3195.737061,80.58,0.44,0.5,8.59,3.04,4.67,Yes,Yes,Yes,155727056,142000.0,14778497.33
ECS,Bulgaria,22279.36133,24.35,5.83,1.98,17.93,14.18,12.15,Yes,Yes,Yes,7025037,53785.0,2859190.0
MEA,Bahrain,47937.77734,59.1,3.4,2.1,15.2,12.8,7.4,Yes,Yes,Yes,1425171,20000.0,951942.9695
LCN,"Bahamas, The",35400.08203,46.0,7.0,7.0,12.0,15.0,13.0,Yes,No,No,386838,4900.0,264000.0
ECS,Bosnia and Herzegovina,12671.00781,43.2,4.0,3.0,92.7,4.9,11.5,No,No,Yes,3535961,1409.0,1248718.0
ECS,Belarus,18307.51953,30.0,8.0,2.0,35.0,5.0,12.0,Yes,Yes,Yes,9489616,72000.0,4280000.0
LCN,Belize,7259.024414,47.0,8.0,5.0,5.0,16.0,19.0,Yes,Yes,Yes,359288,2300.0,101378.8303
NAC,Bermuda,80982.36719,17.0,9.0,6.0,26.0,29.0,13.0,Yes,Yes,No,64798,22500.0,82000.0
LCN,Bolivia,7984.413574,55.1969112,2.903474903,2.501930502,22.7027027,6.501930502,10.19305019,Yes,Yes,No,10724705,35392.0,2219052.0
LCN,Brazil,14596.24609,51.4,2.4,2.9,16.7,13.1,13.5,Yes,Yes,Yes,208494896,1411900.0,79069584.0
LCN,Barbados,15444.74609,18.3,3.7,4.9,5.7,19.7,17.1,Yes,No,No,280601,3800.0,174815.4444
EAS,Brunei Darussalam,60865.98828,36.0,3.0,4.0,15.0,18.0,16.0,Yes,Yes,Yes,423196,7700.0,216253.156
SAS,Bhutan,6743.016113,58.0,4.0,1.0,7.0,17.0,13.0,Yes,Yes,Yes,686958,1457.5,111314.05
SSF,Botswana,14126.38965,8.1,4.0,0.1,91.9,13.155000000000001,11.5,Yes,Yes,Yes,2014866,16000.0,210854.4426
SSF,Central African Republic,822.6104736,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,No,4515392,2700.0,1105983.0
NAC,Canada,47672.07813,24.0,6.0,13.0,8.0,47.0,3.0,Yes,Yes,Yes,35544564,724000.0,25103034.0
ECS,Switzerland,68394.28906,29.0,4.0,3.0,29.0,20.0,15.0,Yes,Yes,Yes,8574832,184000.0,6079556.0
